#Label	#Number	She	Rhyme	1 kai	2 kai	3 kai	4 kai	1 he	2 he	3 he	4 he	Tone
東	1	12	45	owŋ	owŋ	uwŋ	uwŋ	-	-	-	-	1
冬	2	12	46	awŋ	-	-	-	-	-	-	-	1
腫	3	12	47	-	-	uawŋ	uawŋ	-	-	-	-	1
江	4	11	43	-	arwŋ	-	-	-	-	-	-	1
支	5	5	16	-	iă	iă	jiă	-	wiă	wiă	jwiă	1
脂	6	5	17	-	i	i	ji	-	wi	wi	jwi	1
之	7	5	18	-	ɨ	ɨ	ɨ	-	-	-	-	1
微	8	5	19	-	-	ɨj	-	-	-	uj	-	1
# Rhyme 5 only has hekou in qusheng.
魚	9	3	5	-	ɨă	ɨă	ɨă	-	-	-	-	1
虞	10	3	6	-	-	-	-	-	uă	uă	uă	1
模	11	3	4	-	-	-	-	ɔ	-	-	-	1
齊	12	4	15	-	-	-	ɛj	-	-	uă	wɛj	1
佳	13	4	11	-	arj	-	-	-	warj	-	-	1
皆	14	4	10	-	ɛrj	*ɛrj	-	-	wɛrj	-	-	1
灰	15	4	8	-	-	-	-	wǝj	-	-	-	1
咍	16	4	7	ǝj	-	*ǝj	-	-	-	-	-	1
真	17	14	70	-	-	in	jin	-	-	win	-	1
諄	18	14	71	*in	-	-	-	-	-	win	jwin	1
# Rhyme 69 is in complementary distribution to 70, pingsheng kaikou grade 2 only.
臻	19	14	69	-	in	-	-	-	-	-	-	1
文	20	14	68	-	-	*win	-	-	-	un	-	1
殷	21	14	67	-	-	ɨn	-	-	-	-	-	1
元	22	13	55	-	-	ɨan	-	-	-	uan	-	1
䰟	23	14	66	-	-	-	-	wǝn	-	-	-	1
痕	24	14	65	ǝn	-	-	-	-	-	-	-	1
寒	25	13	51	an	-	-	-	*wan	-	-	-	1
桓	26	13	52	-	-	-	-	wan	-	-	-	1
刪	27	13	53	*arn	arn	-	-	-	warn	-	-	1
山	28	13	54	*ɛrn	ɛrn	-	-	-	wɛrn	-	-	1
先	29	13	57	-	-	-	ɛn	-	*wɛn	-	wɛn	1
仙	30	13	56	-	*ian	ian	jian	-	*wian	jwian	jwian	1
蕭	31	6	23	-	-	-	ɛw	-	-	-	-	1
宵	32	6	22	-	-	iaw	jiaw	-	-	-	-	1
肴	33	6	21	-	arw	-	-	-	-	-	-	1
豪	34	6	20	aw	-	-	-	-	-	-	-	1
歌	35	1	1	aă	-	-	-	-	-	-	-	1
戈	36	1	2	*aă	-	ɨaă	-	waă	-	uaă	-	1
麻	37	2	3	-	ar	iaă	iaă	-	war	-	-	1
